
Time (seconds),delta(V)
-1.788,0.16
-1.773,-6.24
-1.753,-5.76
-1.745,-5.12
-1.733,-4.24
-1.721,-3.52
-1.705,-2.80
-1.693,-2.32
-1.677,-1.92
-1.657,-1.36
-1.625,-0.88
-1.613,-0.72
-1.565,-0.40
-1.509,-1.60
-1.453,0.00
-1.201,0.16
